Name,Sector,Gender,Number,Percentage
אפריל,Jew,Female,9,0.01
שנאל,Jew,Female,9,0.01
נהרה,Jew,Female,9,0.01
ילין,Jew,Female,9,0.01
ליר,Jew,Female,9,0.01
אושרת,Jew,Female,9,0.01
תחיה,Jew,Female,9,0.01
שינא,Jew,Female,9,0.01
תמה,Jew,Female,9,0.01
נורית,Jew,Female,9,0.01
אודאל,Jew,Female,8,0.01
קלואי,Jew,Female,8,0.01
פערי,Jew,Female,8,0.01
שיינדי,Jew,Female,8,0.01
קרין,Jew,Female,8,0.01
מלודי,Jew,Female,8,0.01
ציפא,Jew,Female,8,0.01
מינה,Jew,Female,8,0.01
מליסה,Jew,Female,8,0.01
אלמז,Jew,Female,8,0.01
תיאה,Jew,Female,8,0.01
נסיה,Jew,Female,8,0.01
יה-לי,Jew,Female,8,0.01
עינת,Jew,Female,8,0.01
צוריה,Jew,Female,8,0.01
אריאלה,Jew,Female,8,0.01
בינה,Jew,Female,8,0.01
רויטל,Jew,Female,8,0.01
נהורה,Jew,Female,8,0.01
סנדרה,Jew,Female,8,0.01
היאלי,Jew,Female,8,0.01
מריאל,Jew,Female,8,0.01
ליזה,Jew,Female,8,0.01
שבות,Jew,Female,8,0.01
קריסטינה,Jew,Female,8,0.01
ולריה,Jew,Female,7,0.01
אדלינה,Jew,Female,7,0.01
לארה,Jew,Female,7,0.01
אלכסה,Jew,Female,7,0.01
גולדי,Jew,Female,7,0.01
בתשבע,Jew,Female,7,0.01
אבגיל,Jew,Female,7,0.01
מינדל,Jew,Female,7,0.01
איטא,Jew,Female,7,0.01
ברית,Jew,Female,7,0.01
שרית,Jew,Female,7,0.01
דפני,Jew,Female,7,0.01
אמליה,Jew,Female,7,0.01
סיאל,Jew,Female,7,0.01
לריאן,Jew,Female,7,0.01
עדה,Jew,Female,7,0.01
דיה,Jew,Female,7,0.01
בת חן,Jew,Female,7,0.01
שירת,Jew,Female,7,0.01
נסלי,Jew,Female,7,0.01
שבע,Jew,Female,7,0.01
רויזא,Jew,Female,7,0.01
ענוה,Jew,Female,7,0.01
ביתיה,Jew,Female,7,0.01
קיילה,Jew,Female,6,0.01
מריאנה,Jew,Female,6,0.01
ג'סיקה,Jew,Female,6,0.01
